LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP
KL020,6,2.033333333333333,1,0.16666666666666666,0,0.35,1.5166666666666666,0.31666666666666665,0.48333333333333334,0.6666666666666666,0.16666666666666666,9.837,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.769,9.905,627.8500000000001,375.6777033649631,608.995855016839,179.8411098999776,469.25705200483037,1213.46795679476,349.350207985772,313.68017578125,532.7649808445236,8.665632306389055,16.9980769574272,9.78808241065375,10.504934781014196,10.045094754490343,15.6326204350384,10.519107818603516,22.25,11.93907360750216,568.228438602019
KL021,6,1.7333333333333334,1.3333333333333333,0.16666666666666666,0,0.3666666666666667,1.3333333333333333,1.0666666666666667,0.3333333333333333,0.6166666666666667,0.16666666666666666,8.118,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.077,8.159,868.7333333333333,599.3032328792294,1170.7008773159,290.92411535171647,641.7659325805391,1646.1933308339999,895.969602095592,848.925537109375,874.1428485094959,8.665632306389055,16.9980769574272,9.78808241065375,10.504934781014196,10.045094754490343,15.6326204350384,10.519107818603516,22.25,11.93907360750216,905.258198349153
L0012,6,2.033333333333333,1,0,0.3333333333333333,0.18333333333333335,1.85,0.31666666666666665,0.48333333333333334,0.6666666666666666,0.3333333333333333,7.96,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.843,8.077,347.51666666666665,1060.678793123614,566.964476081338,1006.0054160363987,901.540054418119,1213.46795679476,813.745918611958,1470.1170654296875,927.0671025110314,14.71757171844051,11.7487845230947,20.97034618128912,14.59351150628869,25.049129825989468,12.9888073607896,14.167048454284668,17.5,16.67802518598201,568.228438602019
L0021,5,1,1,0.2,0,0,1,0.8,0.8,0.2,0.6,11.404,N 32 41.880,E 72 19.943,Chinji,Hutch Nala,Hutch Nala,11.38,11.428,1361,686.554702195912,1232.31039858814,860.5856702147543,855.8529100035637,904.6048476996053,1306.95249022552,1132.2008056640625,974.4768364879156,3.8391235522944833,6.5225006287481,6.938972128226371,6.176412160725502,5.075659101166456,5.62958291739128,6.205105781555176,9.900000000000002,5.697041748092032,990.246987113129
L0022,5,1.4,1.42,0.16,0.02,0.2,0.8,1.28,0.62,0.32,0.4,11.856,N 32 41.533,E 72 19.116,Chinji,Hutch Nala,Hutch Nala,11.79,11.921,1413.6,860.4658362205213,1646.21577243284,1167.8409819426847,938.0185976105639,1812.4843236416336,1849.13733869294,1323.5015869140625,1379.0271417568633,7.821305527052756,11.1617913327709,13.659337211493888,7.294045020902228,13.038278992662985,11.9408674230664,7.270648002624512,15.6,10.819270917991528,988.882139073596
L0072,9,1.6666666666666667,1.2222222222222223,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.2222222222222223,1,0.3333333333333333,0.6666666666666666,0.2222222222222222,7.326,NA,NA,Dhok Pathan,Dhok Saira,Dhok Saira,7.208,7.444,981.4444444444443,1711.9097222359267,1232.66031993823,1431.2273141521064,1647.1615148874855,1742.3545250649418,1955.90552561552,2389.173095703125,1620.2031536490354,27.17202667478354,14.7523554106667,25.29538180127405,27.089652700456895,21.78608261521078,14.4592772017466,27.388525009155273,20.666666666666668,21.759129400689748,939.206314714573
L0075,5,1.4,1,0.4,0.2,0,1.2,0,0.4,0.2,0.4,8.01,NA,NA,Dhok Pathan,Dhok Saira,Dhok Saira,7.645,8.374,1077.2000000000003,2006.713280816762,1646.21577243284,1243.7219419002547,1996.2388888479022,1609.8195755596705,1444.48580150152,1260.167236328125,1657.8658768431578,24.243466037980706,11.1617913327709,21.91985333163949,24.437523454786696,25.379134132013302,11.9408674230664,22.84541130065918,15.6,19.847105952042916,988.882139073596
L0082,10,1.52,1.4,0.2,0.2,0.12,0.9,1.24,0.3,0.5,0.3,7.365,N 32 48.766,E 73 19.807,Dhok Pathan,Hasnot-SW,Dhok Saira,7.316,7.414,1294.8199999999997,2063.4683322688734,1433.4044561261,1563.3470432617364,1898.5965196962768,1953.9091523730149,2017.68526042011,1820.6866455078125,1821.735127357685,24.78837263928964,12.2859278196653,24.32549594390065,26.428952059602338,23.25630365253417,13.3962537953115,26.885276794433594,18.450000000000003,20.74688431838393,978.524033058857
L0094,8,1.3875,1,0.375,0.0125,0.1375,0.8875,0.4875,0.35,0.45,0.125,10.228,NA,NA,Nagri,Dhala Nala (Lower),Dhala Nala (Lower),10.143,10.313,1343.625,1338.5091468728856,1872.23615574102,1500.6319510730877,1245.707821545583,2145.0295259070126,1822.78243293625,1607.3052978515625,1654.1495056793053,11.987352276948448,18.4868564905887,12.999728066976768,15.618100338351045,13.497095482391968,16.8216453622913,15.62568473815918,23.4375,14.901796336258037,989.281620365659
ML005,7,1.4142857142857144,1,0.14285714285714285,0.014285714285714287,0.14285714285714285,1.4285714285714286,0.2857142857142857,0.7,0.22857142857142856,0.5714285714285714,8.726,NA,NA,Dhok Pathan,Malhuwala Kas,Malhuwala Kas,8.661,8.791,880.8428571428572,609.8205785506028,1158.32147433831,1101.7345634015483,709.4758534952144,1480.50324545765,1513.34205221288,1217.3743896484375,1095.5329612427022,0.7437071544081086,7.64308273654894,10.941759770762738,-2.387305004031371,10.499301610747073,6.73811865055608,-2.445497989654541,10.714285714285715,5.696444153165261,988.305448409712
