LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0452,9,2,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.5555555555555556,0,0.3333333333333333,0.5555555555555556,0.2222222222222222,7.328
Y0453,8,1.525,1,0.125,0.125,0.0125,1.3875,0.4875,0.7375,0.5,0.375,6.497
Y0454,9,1.2444444444444445,1,0.2222222222222222,0,0.12222222222222222,1.011111111111111,0.6555555555555556,0.5444444444444444,0.4444444444444444,0.3333333333333333,10.486
Y0455,6,1.0666666666666667,1,0,0,0.016666666666666666,0.85,1.3166666666666667,0.9833333333333334,0.2833333333333333,0.6666666666666666,11.153
Y0457,8,1.625,1.25,0.25,0.125,0.125,1,0.875,0.25,0.5,0.25,7.394
Y0461,5,1.48,1.4,0.2,0,0.24,1,1.6800000000000002,0.4,0.74,0,8.586
Y0478,27,1.2,1.2222222222222223,0.1111111111111111,0,0.081481481,0.9629629629629629,1.2851851851851852,0.7037037037037037,0.48148148148148145,0.4074074074074074,14.138
Y0486,12,1.1,1.1666666666666667,0.16666666666666666,0,0.016666666666666666,0.9166666666666666,1.2,0.6666666666666666,0.3333333333333333,0.5,12.224
Y0487,5,1.22,1,0.2,0.02,0.02,1.02,0.78,0.76,0.32,0.4,13.849
Y0491,12,1.25,1,0.16666666666666666,0,0.083333333,1,0.6666666666666666,0.6666666666666666,0.25,0.5833333333333334,13.8
Y0493,6,1.1833333333333333,1,0.16666666666666666,0.016666666666666666,0.016666666666666666,1.1833333333333333,0.65,0.6333333333333333,0.43333333333333335,0.3333333333333333,10.015
Y0494,17,1.1235294117647059,1.0058823529411764,0.16470588235294117,0,0.058823529411764705,0.7647058823529411,0.9647058823529412,0.7176470588235294,0.29411764705882354,0.5294117647058824,12.377
Y0495,13,1.0153846153846153,1.1538461538461537,0.15384615384615385,0,0.015384615384615385,1,1.1076923076923078,0.6923076923076923,0.46153846153846156,0.38461538461538464,11.616
Y0496,27,1.1925925925925926,1.0740740740740742,0.1111111111111111,0,0.044444444444444446,1.2222222222222223,0.8296296296296296,0.7777777777777778,0.4074074074074074,0.48148148148148145,12.377
Y0498,11,1.0909090909090908,1,0.18181818181818182,0,0,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.18181818181818182,0.6363636363636364,11.712
Y0499,17,1.1588235294117648,1.1176470588235294,0.23529411764705882,0,0.011764705882352941,1,0.8470588235294118,0.6470588235294118,0.3941176470588235,0.35294117647058826,12.088
Y0500,18,1.011111111111111,1.1111111111111112,0.16666666666666666,0,0.011111111111111112,0.8888888888888888,1.1333333333333333,0.7222222222222222,0.3888888888888889,0.4444444444444444,12.088
Y0501,6,1.1,1.6666666666666667,0.16666666666666666,0,0.083333333,0.5,2.45,0.5,0.5,0.3333333333333333,14.118
Y0502,16,1.125,1,0.1875,0,0.0625,1,0.625,0.6875,0.25,0.5625,11.971
Y0503,12,1.0166666666666666,1.1666666666666667,0,0,0.016666666666666666,0.9166666666666666,1.7,0.8333333333333334,0.5,0.5,13.68
Y0504,20,1.06,1.1,0.15,0,0.01,0.95,1.02,0.75,0.3,0.55,11.644
Y0506,9,1.1222222222222222,1.2222222222222223,0.1111111111111111,0.011111111111111112,0.022222222222222223,1,1.3777777777777778,0.7666666666666667,0.28888888888888886,0.5555555555555556,13.986
Y0507,14,1.1,1.1428571428571428,0.071428571,0,0.014285714285714287,1.2142857142857142,1.0285714285714287,0.7857142857142857,0.42857142857142855,0.5,11.674
Y0509,6,1.5333333333333332,1.3333333333333333,0.16666666666666666,0,0.2,1,1.4000000000000001,0.5,0.3333333333333333,0.5,13.185
Y0510,6,1.15,1,0,0.016666666666666666,0,1.5,0.6666666666666666,0.8166666666666667,0.43333333333333335,0.5,12.833
Y0511,8,1.175,1.2625,0.1,0.0125,0.025,1,1.6,0.7625,0.45,0.375,12.924
Y0512,6,1.5,1,0.16666666666666666,0,0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,12.073
Y0513,8,1.25,1.2625,0.1,0.0125,0.125,1,1.3,0.6375,0.575,0.25,13.091
Y0514,9,1.2222222222222223,1,0,0,0,1.1111111111111112,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.7777777777777778,13.047
Y0515,16,1.2,1.125,0.125,0,0.075,0.9375,1.15,0.6875,0.375,0.5,12.088
Y0535,10,1.52,1,0.2,0,0.21,1.21,0.39,0.49,0.5,0.3,8.425
Y0537,6,1.2,1.0166666666666666,0.13333333333333333,0.016666666666666666,0.016666666666666666,1.1833333333333333,0.7166666666666667,0.8333333333333334,0.26666666666666666,0.5,10.584
Y0539,9,1.5777777777777777,1.2222222222222223,0.1111111111111111,0.1111111111111111,0.13333333333333333,1.4444444444444444,0.9333333333333333,0.5555555555555556,0.5555555555555556,0.3333333333333333,8.056
Y0541,10,1.62,1,0.2,0.2,0.1,1.5,0.2,0.5,0.47,0.3,7.966
Y0542,8,1.65,1.25,0.125,0,0.275,1.375,1.05,0.5,0.5,0.375,8.056
Y0545,19,1.5578947368421052,1.2105263157894737,0.052631579,0.10526315789473684,0.13157894736842105,1.263157894736842,1.0894736842105264,0.5789473684210527,0.5789473684210527,0.3684210526315789,8.056
Y0547,12,1.75,1.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.25,0.75,0.3333333333333333,0.6666666666666666,0.16666666666666666,7.966
Y0551,7,1.4428571428571428,1,0.14285714285714285,0.014285714285714287,0.15714285714285714,1.0142857142857142,0.8428571428571429,0.4,0.6571428571428571,0.14285714285714285,5.979
Y0552,5,1.8,1.4,0,0.2,0.2,1.2,1.8,0.2,0.8,0.2,6.049
Y0572,7,1.3142857142857143,1,0.2857142857142857,0,0.15714285714285714,1.3,0.2714285714285714,0.5571428571428572,0.42857142857142855,0.2857142857142857,10.366
Y0578,12,1.2833333333333332,1.1666666666666667,0.25,0,0.10833333333333334,0.925,1.025,0.4916666666666667,0.4166666666666667,0.3333333333333333,9.696
Y0579,5,1.42,1.02,0.16,0,0.2,1.4,0.48,0.64,0.6,0.2,9.748
Y0581,12,1.6333333333333333,1.175,0.16666666666666669,0.16666666666666666,0.091666667,1.2,0.8,0.4,0.6083333333333333,0.16666666666666666,7.157
Y0591,9,1.1444444444444444,1.2222222222222223,0.1111111111111111,0.011111111111111112,0.033333333,1.011111111111111,1.3666666666666667,0.7555555555555555,0.28888888888888886,0.5555555555555556,15.962
Y0592,14,1.0642857142857143,1,0.2857142857142857,0.007142857,0,1,0.7142857142857143,0.7071428571428572,0.32857142857142857,0.35714285714285715,16.045
Y0596,9,1.3333333333333333,1,0,0,0.1111111111111111,1.4444444444444444,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.5555555555555556,10.106
Y0599,11,1.7454545454545454,1.1818181818181819,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.1818181818181819,0.8181818181818182,0.36363636363636365,0.6090909090909091,0.18181818181818182,8.056
Y0600,8,1.9,1.5,0,0.25,0.25,1.375,1.125,0.375,0.7125,0.25,8.056
Y0604,13,1.5692307692307692,1.1538461538461537,0.23076923076923078,0.076923077,0.16923076923076924,1.2307692307692308,0.8,0.46153846153846156,0.46153846153846156,0.3076923076923077,8.569
