HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0403,5,1.4,1,0.2,0,0.2,1.2,0.4,0.6,0.2,0.6,9.341
Y0406,12,1.4,1.333333333,0.166666667,0,0.125,1.083333333,1.391666667,0.583333333,0.666666667,0.166666667,8.937
Y0413,5,1.62,1.02,0.16,0,0.2,1.6,0.08,0.64,0.2,0.6,9.428
Y0430,5,1.18,1,0.2,0.02,0,1.6,0,0.78,0.12,0.68,13.617
Y0439,5,1.52,1,0,0.02,0.2,1.4,0.8,0.78,0.56,0.46,9.323
Y0440,5,1.48,1.4,0,0.2,0.04,1.2,1.68,0.4,0.74,0.26,7.485
Y0443,5,1.88,1.4,0,0.2,0.24,1.2,2.08,0.4,1,0,8.498
Y0444,6,2.033333333,1,0.166666667,0.166666667,0.333333333,1.5,0.333333333,0.333333333,0.666666667,0.166666667,8.591
Y0445,6,1.4,1.333333333,0.166666667,0,0.2,1,1.4,0.5,0.45,0.383333333,8.703
Y0448,5,1.44,1,0.2,0,0.22,1.02,0.78,0.58,0.6,0.2,9.123
Y0450,18,1.255555556,1,0.166666667,0,0.066666667,1.177777778,0.633333333,0.711111111,0.327777778,0.5,10.222
Y0452,11,1.818181818,1,0.181818182,0.181818182,0.181818182,1.636363636,0,0.454545455,0.454545455,0.363636364,7.328
Y0453,8,1.525,1,0.125,0.125,0.0125,1.3875,0.4875,0.7375,0.5,0.375,6.497
Y0454,9,1.244444444,1,0.222222222,0,0.122222222,1.011111111,0.655555556,0.544444444,0.444444444,0.333333333,10.486
Y0455,6,1.066666667,1,0,0,0.016666667,0.85,1.316666667,0.983333333,0.283333333,0.716666667,11.153
Y0457,8,1.625,1.25,0.25,0.125,0.125,1,0.875,0.25,0.5,0.25,7.394
Y0461,5,1.48,1.4,0.2,0,0.24,1,1.68,0.4,0.74,0.06,8.586
Y0478,29,1.255172414,1.206896552,0.103448276,0,0.075862069,1.034482759,1.196551724,0.724137931,0.517241379,0.344827586,14.138
Y0486,13,1.092307692,1.153846154,0.153846154,0,0.015384615,1,1.107692308,0.692307692,0.307692308,0.538461538,12.224
Y0487,5,1.22,1,0.2,0.02,0.02,1.02,0.78,0.76,0.32,0.48,13.849
Y0491,12,1.25,1,0.166666667,0,0.083333333,1,0.666666667,0.666666667,0.25,0.5,13.8
Y0493,6,1.183333333,1,0.166666667,0.016666667,0.016666667,1.183333333,0.65,0.633333333,0.433333333,0.4,10.015
Y0494,18,1.116666667,1.005555556,0.155555556,0,0.055555556,0.833333333,0.911111111,0.733333333,0.277777778,0.5,12.377
Y0495,13,1.015384615,1.153846154,0.153846154,0,0.015384615,1,1.107692308,0.692307692,0.461538462,0.307692308,11.616
Y0496,29,1.248275862,1.068965517,0.103448276,0,0.04137931,1.275862069,0.772413793,0.793103448,0.413793103,0.448275862,12.377
Y0498,11,1.090909091,1,0.181818182,0,0,0.909090909,0.909090909,0.818181818,0.181818182,0.636363636,11.712
Y0499,17,1.158823529,1.117647059,0.235294118,0,0.011764706,1,0.847058824,0.647058824,0.394117647,0.370588235,12.088
